occupation_id,สาขาอาชีพหลัก,occupation_sub_id,สาขาอาชีพรอง,ชื่อตำแหน่งงาน
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,Foreman
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,Site Engineer
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,วิศวกรโครงการ
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,โฟร์แมน ควบคุมงานก่อสร้าง
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,วิศวกรสนาม .ผู้จัดการโครงการ
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,วิศวกรภาคสนาม
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,ช่างเทคนิคก่อสร้าง
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,Draft Man
1,ก่อสร้าง,1,ก่อสร้าง ควบคุมอาคาร,วิศวกรเขียนแบบก่อสร้าง
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,ธุรการก่อสร้าง
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,ธุรการไซต์งาน (Site Administrator )
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,โฟร์แมน
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,เจ้าหน้าที่ตรวจสอบอาคาร
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,สโตร์ก่อสร้าง
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,วิศวกรโยธา
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,ผู้ควบคุมงานก่อสร้าง
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,โฟร์แมนควบคุมงานก่อสร้าง
1,ก่อสร้าง,83,ก่อสร้างอื่นๆ,เขียนแบบก่อสร้าง
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างก่อสร้าง
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างซ่อมบำรุง
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ธุรการไซต์งาน (Site Administrator )
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,พนักงานก่อสร้าง
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างเชื่อม
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างไม้
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างพ่นสี
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างไฟฟ้า
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างเทคนิค
1,ก่อสร้าง,11,ช่าง/คนงานทั่วไป,ช่างติดฟิล์มอาคาร
1,ก่อสร้าง,5,ตรวจสอบอาคาร/สำรวจ,QC ตวจสอบคุณภาพงานก่อสร้าง
1,ก่อสร้าง,5,ตรวจสอบอาคาร/สำรวจ,วิศวกรสำรวจ
1,ก่อสร้าง,5,ตรวจสอบอาคาร/สำรวจ,ช่างสำรวจ (Survey)
1,ก่อสร้าง,5,ตรวจสอบอาคาร/สำรวจ,ช่างเทคนิค (ตรวจสอบอาคาร)
1,ก่อสร้าง,5,ตรวจสอบอาคาร/สำรวจ,ช่างสำรวจงานก่อสร้าง (Surveyor)
1,ก่อสร้าง,5,ตรวจสอบอาคาร/สำรวจ,ผู้ช่วยช่างสำรวจ
1,ก่อสร้าง,5,ตรวจสอบอาคาร/สำรวจ,เจ้าหน้าที่ตรวจสอบอาคาร
1,ก่อสร้าง,7,ประเมินราคา,วิศวกรประมาณราคา
1,ก่อสร้าง,7,ประเมินราคา,QS Engineer
