occupation_id,สาขาอาชีพหลัก,ชื่อตำแหน่งงาน
27,E-commerce,E-commerce Operations Support
27,E-commerce,เจ้าหน้าที่พาณิชย์อิเลคโทรนิคส์ (E-Commerce Executive)
27,E-commerce,E - Commerce Co-ordinator (ภาษาเกาหลี)
27,E-commerce,E - Commerce Co-ordinator (ภาษาเกาหลี)
27,E-commerce,ผู้จัดการแผนกกลยุทธ์การตลาดอิเล็กทรอนิกส์
27,E-commerce,(E-Commerce Strategy Section Manager)
27,E-commerce,E-Commerce  ด่วน!!!!!!!!
27,E-commerce,E-Commerce Officer ด่วนมาก!!!
27,E-commerce,E-Commerce Officer ด่วนมาก!!!
27,E-commerce,E-Commerce Officer ด่วนมาก!!!
27,E-commerce,E-Commerce Officer ด่วนมาก!!!
27,E-commerce,เจ้าหน้าที่ขายE-Commerce
27,E-commerce,Digital Marketing Executive
27,E-commerce,นักวางแผนโฆษณาออนไลน์ ( Online Media Planner )
27,E-commerce,เจ้าหน้าที่ขาย Online / E-Commerce (Web/FB/Line/IG) *** ยินดีรับนิสิต / นักศึกษา จบใหม่ ***
27,E-commerce,Sale Officer
27,E-commerce,E-Commerce Manager/Online Marketing Manager BO-TYVWR-CFLKD
27,E-commerce,Marketing Manager (E-Commerce / Web-Marketing) BO-SRWXY-CFEEH
27,E-commerce,E-Commerce Manager/ Online Marketing Manager BO-TYVWR-CFEEJ
27,E-commerce,เจ้าหน้าที่  E-Commerce  ด่วนมาก!!!
27,E-commerce,Marketing Manager
27,E-commerce,E-commerce - Marketting
27,E-commerce,E-commerce - Marketting
27,E-commerce,เจ้าหน้าที่ขายผ่าน Web Site (E-Commerce)
27,E-commerce,E-Commerce Officer
27,E-commerce,Reservation & E-Commerce ประจำ Escape Hua Hin ด่วน!!
27,E-commerce,Reservation & E-Commerce (ประจำโรงแรมที่เขาใหญ่)
27,E-commerce,Reservation & E-Commerce (Khao Yai)
27,E-commerce,Social Media
27,E-commerce,Customer Support (E-Commerce)
27,E-commerce,Social Media
27,E-commerce,E-Commerce  ขายออนไลน์
27,E-commerce,Social Media Officer
27,E-commerce,นักศึกษาฝึกงาน Graphic/video
27,E-commerce,เจ้าหน้าที่ฝ่ายการตลาด E-Commerce / E- Marketing Officer
27,E-commerce,วิศวกรไฟฟ้า
27,E-commerce,E-Commerce Assistant
27,E-commerce,Online Marketing Internet Social Media (Google)
27,E-commerce,Online Marketing Internet Social Media Facebook /E-Commerce/Google
27,E-commerce,E-Commerce Manager
27,E-commerce,E-Commerce Officer (เจ้าหน้าที่ขายด้าน E-Commerce)
27,E-commerce,เจ้าหน้าที่ขาย online(E-Commerce Officer )
27,E-commerce,เจ้าหน้าที่การตลาดออนไลน์ E-Commerce สามารถใช้ภาษาอังกฤษได้ดี
27,E-commerce,E-Commerce
27,E-commerce,Sales Admin
27,E-commerce,Sales Admin
27,E-commerce,Online Marketing
27,E-commerce,AE (Online / E-Commerce / Web / Branner)
27,E-commerce,AE (Online / E-Commerce / Web / Branner)
27,E-commerce,E-commerce Settlement Support
27,E-commerce,E-commerce Settlement Support
27,E-commerce,เจ้าหน้าที่การตลาดออนไลน์
27,E-commerce,Online Marketing
27,E-commerce,Website/E-Commerce Specialist
27,E-commerce,E-Commerce/ Online Marketing Support
27,E-commerce,e-commerce sale
27,E-commerce,Marketing E-commerce ด่วน!! เงินเดือนสูงตามประสบการณ์ ประจำพุทธมณฑลสาย 4
27,E-commerce,Digital Marketplace Architect
27,E-commerce,Customer Service & Administration
27,E-commerce,E-commerce / อีคอมเมิร์ซ
27,E-commerce,E-Commerce Manager
27,E-commerce,Network Administrator
27,E-commerce,E-commerce Marketing Supervisor (ผลิตภัณฑ์เสริมอาหาร Vistra)
27,E-commerce,E-Commerce  Officer ด่วนมาก
27,E-commerce,เจ้าหน้าที่ E-Commerce
27,E-commerce,content & digital marketing officer
27,E-commerce,เจ้าหน้าที่ฝ่ายการตลาด E-Commerce / E- Marketing Officer
27,E-commerce,เจ้าหน้าที่ฝ่ายการตลาด E-Commerce / E- Marketing Officer
27,E-commerce,E-commerce ประจำตึกศรีจุลทรัพย์ - สะพานยศเส
27,E-commerce,E-commerce ประจำตึกศรีจุลทรัพย์ - สะพานยศเส
27,E-commerce,E-commerce Consultant ECC
27,E-commerce,E-commerce Consultant ECC
27,E-commerce,E-commerce Consultant ECC
27,E-commerce,E-commerce Consultant ECC
27,E-commerce,เจ้าหน้าที่ธุรการ
