occupation_id,สาขาอาชีพหลัก,ชื่อตำแหน่งงาน
27,E-commerce,Chief of E-Commerce Growth
27,E-commerce,Cross-Border E-Commerce Manager
27,E-commerce,Customer Experience Leader
27,E-commerce,Digital Content Creator
27,E-commerce,Digital E-Commerce Coordinator
27,E-commerce,Digital Marketplace Coordinator
27,E-commerce,Digital Sales Manager
27,E-commerce,Digital Shop Supervisor
27,E-commerce,E-Commerce Acquisition Specialist
27,E-commerce,E-Commerce Advertising Manager
27,E-commerce,E-Commerce Affiliate Manager
27,E-commerce,E-Commerce Analytics Manager
27,E-commerce,E-Commerce Brand Strategist
27,E-commerce,E-Commerce Budget Analyst
27,E-commerce,E-Commerce Business Development Manager
27,E-commerce,E-Commerce CRM Specialist
27,E-commerce,E-Commerce Campaign Manager
27,E-commerce,E-Commerce Category Manager
27,E-commerce,E-Commerce Channel Specialist
27,E-commerce,E-Commerce Communication Manager
27,E-commerce,E-Commerce Community Manager
27,E-commerce,E-Commerce Compliance Officer
27,E-commerce,E-Commerce Content Manager
27,E-commerce,E-Commerce Conversion Specialist
27,E-commerce,E-Commerce Customer Insights Analyst
27,E-commerce,E-Commerce Customer Loyalty Developer
27,E-commerce,E-Commerce Customer Service Manager
27,E-commerce,E-Commerce Data Scientist
27,E-commerce,E-Commerce Digital Analyst
27,E-commerce,E-Commerce Digital Transformation Leader
27,E-commerce,E-Commerce Financial Planner
27,E-commerce,E-Commerce Fulfillment Supervisor
27,E-commerce,E-Commerce IT Coordinator
27,E-commerce,E-Commerce Infrastructure Manager
27,E-commerce,E-Commerce Insights Analyst
27,E-commerce,E-Commerce Inventory Manager
27,E-commerce,E-Commerce Legal Advisor
27,E-commerce,E-Commerce Localization Manager
27,E-commerce,E-Commerce Logistics Coordinator
27,E-commerce,E-Commerce Marketing
27,E-commerce,E-Commerce Marketing Analyst
27,E-commerce,E-Commerce Merchandiser
27,E-commerce,E-Commerce Officer
27,E-commerce,E-Commerce Operations Director
27,E-commerce,E-Commerce Operations Specialist
27,E-commerce,E-Commerce Optimization Expert
27,E-commerce,E-Commerce Outreach Coordinator
27,E-commerce,E-Commerce Partnership Specialist
27,E-commerce,E-Commerce Performance Marketer
27,E-commerce,E-Commerce Platform Developer
27,E-commerce,E-Commerce Pricing Strategist
27,E-commerce,E-Commerce Process Engineer
27,E-commerce,E-Commerce Procurement Specialist
27,E-commerce,E-Commerce Product Analyst
27,E-commerce,E-Commerce Product Manager
27,E-commerce,E-Commerce Project Manager
27,E-commerce,E-Commerce Quality Assurance Specialist
27,E-commerce,E-Commerce Retention Specialist
27,E-commerce,E-Commerce Revenue Manager
27,E-commerce,E-Commerce Risk Manager
27,E-commerce,E-Commerce SEO Manager
27,E-commerce,E-Commerce Sales Analyst
27,E-commerce,E-Commerce Sales Executive
27,E-commerce,E-Commerce Security Manager
27,E-commerce,E-Commerce Social Media Strategist
27,E-commerce,E-Commerce Software Engineer
27,E-commerce,E-Commerce Solution Architect
27,E-commerce,E-Commerce Strategic Planner
27,E-commerce,E-Commerce Strategy Director
27,E-commerce,E-Commerce Supply Chain Analyst
27,E-commerce,E-Commerce System Administrator
27,E-commerce,E-Commerce Systems Analyst
27,E-commerce,E-Commerce Tax Advisor
27,E-commerce,E-Commerce Technical Support
27,E-commerce,E-Commerce Technology Manager
27,E-commerce,E-Commerce Traffic Analyst
27,E-commerce,E-Commerce Training Specialist
27,E-commerce,E-Commerce UX Researcher
27,E-commerce,E-Commerce Usability Tester
27,E-commerce,E-Commerce User Experience Designer
27,E-commerce,E-Commerce User Interface Designer
27,E-commerce,E-Commerce Vendor Coordinator
27,E-commerce,E-Commerce Web Developer
27,E-commerce,E-Commerce Workshop Facilitator
27,E-commerce,E-Community Growth Hacker
27,E-commerce,Global E-Commerce Coordinator
27,E-commerce,Head of E-Commerce Innovation
27,E-commerce,Lead E-Commerce Negotiator
27,E-commerce,Mobile E-Commerce Specialist
27,E-commerce,Online Marketing
27,E-commerce,Online Operation Manager
27,E-commerce,Operation Admin
27,E-commerce,Payment Gateway Specialist
27,E-commerce,SEO Specialist for E-Commerce
27,E-commerce,Sales Admin
27,E-commerce,Social Media E-Commerce Coordinator
27,E-commerce,Specialist E-commerce & Influencer Marketing
27,E-commerce,Webstore Manager
27,E-commerce,เจ้าหน้าที่ Chat & Shop
27,E-commerce,แอดมินตอบแชท
45,Part-time/พนักงานสัญญาจ้าง,1 ปี)
45,Part-time/พนักงานสัญญาจ้าง,Admin (Used Car) (พนักงานสัญญาจ้าง)
45,Part-time/พนักงานสัญญาจ้าง,Call Center (Contract)
45,Part-time/พนักงานสัญญาจ้าง,Engineering สหกิจศึกษา
45,Part-time/พนักงานสัญญาจ้าง,Freelance
45,Part-time/พนักงานสัญญาจ้าง,Graphic Designer (รับนักศึกษาฝึกงาน/สหกิจศึกษา)
45,Part-time/พนักงานสัญญาจ้าง,HR Trainee (นักศึกษาฝึกงาน HR)
45,Part-time/พนักงานสัญญาจ้าง,PART-TIMEพนักงานขาย
45,Part-time/พนักงานสัญญาจ้าง,Part -Time
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Admin Support
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Bookkeeping Assistant
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Content Writer
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Customer Support
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Dance Instructor
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Data Analyst
45,Part-time/พนักงานสัญญาจ้าง,Part-Time E-commerce Assistant
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Event Assistant
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Fitness Trainer
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Graphic Assistant
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Inventory Taker
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Jewelry Consultant
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Logistics Coordinator
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Pet Caregiver
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Photo Editor
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Product Demonstrator
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Promotion Staff
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Quality Control
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Receptionist
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Research Assistant
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Social Media Coordinator
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Store Organizer
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Tech Support
45,Part-time/พนักงานสัญญาจ้าง,Part-Time Tele-Sales
45,Part-time/พนักงานสัญญาจ้าง,Recruitment ธุรกิจร้านกาแฟ ร้านอาหาร (สัญญาจ้าง 6 เดือน
45,Part-time/พนักงานสัญญาจ้าง,Steward [พนักงานล้างจาน สัญญาจ้าง 1 ปี]
45,Part-time/พนักงานสัญญาจ้าง,Trainee Engineering สหกิจศึกษา ฝึกงาน
45,Part-time/พนักงานสัญญาจ้าง,Trainee Front Office สหกิจศึกษา
45,Part-time/พนักงานสัญญาจ้าง,งานพาร์ทไทม์ เจ้าหน้าแอดมินตอบแชทลูกค้าหลังบ้าน
45,Part-time/พนักงานสัญญาจ้าง,นักศึกษาฝึกงาน
