occupation_id,สาขาอาชีพหลัก,ชื่อตำแหน่งงาน
1,ก่อสร้าง,Foreman
1,ก่อสร้าง,Site Engineer
1,ก่อสร้าง,วิศวกรโครงการ
1,ก่อสร้าง,โฟร์แมน ควบคุมงานก่อสร้าง
1,ก่อสร้าง,วิศวกรสนาม .ผู้จัดการโครงการ . วิศวกรภาคสนาม
1,ก่อสร้าง,ช่างเทคนิคก่อสร้าง
1,ก่อสร้าง,Draft Man
1,ก่อสร้าง,วิศวกรเขียนแบบก่อสร้าง
1,ก่อสร้าง,ธุรการก่อสร้าง
1,ก่อสร้าง,ธุรการไซต์งาน (Site Administrator )
1,ก่อสร้าง,โฟร์แมน
1,ก่อสร้าง,เจ้าหน้าที่ตรวจสอบอาคาร
1,ก่อสร้าง,สโตร์ก่อสร้าง
1,ก่อสร้าง,วิศวกรโยธา
1,ก่อสร้าง,ผู้ควบคุมงานก่อสร้าง
1,ก่อสร้าง,โฟร์แมนควบคุมงานก่อสร้าง
1,ก่อสร้าง,เขียนแบบก่อสร้าง
1,ก่อสร้าง,ช่างก่อสร้าง
1,ก่อสร้าง,ช่างซ่อมบำรุง
1,ก่อสร้าง,ธุรการไซต์งาน (Site Administrator )
1,ก่อสร้าง,พนักงานก่อสร้าง
1,ก่อสร้าง,ช่างเชื่อม
1,ก่อสร้าง,ช่างไม้
1,ก่อสร้าง,ช่างพ่นสี
1,ก่อสร้าง,ช่างไฟฟ้า
1,ก่อสร้าง,ช่างเทคนิค
1,ก่อสร้าง,ช่างติดฟิล์มอาคาร
1,ก่อสร้าง,QC ตวจสอบคุณภาพงานก่อสร้าง
1,ก่อสร้าง,วิศวกรสำรวจ
1,ก่อสร้าง,ช่างสำรวจ (Survey)
1,ก่อสร้าง,ช่างเทคนิค (ตรวจสอบอาคาร)
1,ก่อสร้าง,ช่างสำรวจงานก่อสร้าง (Surveyor)
1,ก่อสร้าง,ผู้ช่วยช่างสำรวจ
1,ก่อสร้าง,เจ้าหน้าที่ตรวจสอบอาคาร
1,ก่อสร้าง,วิศวกรประมาณราคา
1,ก่อสร้าง,QS Engineer
1,ก่อสร้าง,เจ้าหน้าที่ธุรการประมาณราคา
1,ก่อสร้าง,เจ้าหน้าที่ประเมินราคาทรัพย์สิน
1,ก่อสร้าง,ผู้จัดการประมาณราคา
1,ก่อสร้าง,Cost Engineer
1,ก่อสร้าง,เจ้าหน้าที่ประมาณราคางานก่อสร้างและงานตกแต่งภายใน
1,ก่อสร้าง,ประมูลงานก่อสร้าง
1,ก่อสร้าง,ผู้จัดการโครงการ
1,ก่อสร้าง,Site Architect
1,ก่อสร้าง,ประสานงานโครงการ
1,ก่อสร้าง,สถาปนิกควบคุมงาน
1,ก่อสร้าง,ผู้จัดการงานตกแต่งภายใน
1,ก่อสร้าง,ผู้จัดการโครงการ/PM
1,ก่อสร้าง,วิศวกรที่ปรึกษาโครงการ
1,ก่อสร้าง,ฝ่ายประสานงานลูกค้า
1,ก่อสร้าง,พนักงานสำรวจหน้างาน
1,ก่อสร้าง,เจ้าหน้าที่โฟร์เเมนภูมิทัศน์
1,ก่อสร้าง,โฟร์แมน
1,ก่อสร้าง,โฟร์แมนงานระบบ
1,ก่อสร้าง,โฟร์แมนประจำไซต์งาน
1,ก่อสร้าง,โฟร์แมนโยธา
1,ก่อสร้าง,โฟร์แมนสถาปัตย์
1,ก่อสร้าง,ที่ปรึกษาปรับปรุงบ้าน
1,ก่อสร้าง,โฟร์แมนงานระบบ (MEP Foreman)
1,ก่อสร้าง,โฟร์แมนผู้ควบคุมงานตกแต่งภายใน
1,ก่อสร้าง,โฟร์แมนควบคุมงานโครงสร้าง
1,ก่อสร้าง,เจ้าหน้าที่เขียนแบบ(ก่อสร้าง)
1,ก่อสร้าง,โฟร์แมนโยธา
1,ก่อสร้าง,Site Engineer
1,ก่อสร้าง,โฟร์แมนด้านโครงสร้าง
1,ก่อสร้าง,ช่างติดตั้งสุขภัณฑ์
1,ก่อสร้าง,ผู้ควบคุมงานโยธา-สถาปัตย์
1,ก่อสร้าง,ช่างเทคนิคโยธา
1,ก่อสร้าง,Office Engineer
1,ก่อสร้าง,Civil Engineer
3,การตลาด/PR,Graphic Design
3,การตลาด/PR,Content Creator
3,การตลาด/PR,เจ้าหน้าที่การตลาด
3,การตลาด/PR,เจ้าหน้าที่คอนเทนต์ (Content Marketing)
3,การตลาด/PR,Digital Marketing
3,การตลาด/PR,multimedia creative
3,การตลาด/PR,Creative
3,การตลาด/PR,Media
3,การตลาด/PR,SEO Content Manager
3,การตลาด/PR,ธุรการฝ่ายการตลาด
3,การตลาด/PR,PR Influencer
3,การตลาด/PR,ผู้ช่วยไลฟ์สด (Live Steaming Admin)
3,การตลาด/PR,พนักงาน LIVE สด
3,การตลาด/PR,อีเว้นท์ออกบูธ
3,การตลาด/PR,Live Streamer
3,การตลาด/PR,MC LIVE
3,การตลาด/PR,Pretty coordinator OR
3,การตลาด/PR,Admin Live Streaming
3,การตลาด/PR,Influencer Tiktok
3,การตลาด/PR,Marketing  Executive
